,answer,first,second
0,11,3,8
1,3,2,1
2,1,1,0
3,9,5,4
4,0,0,0
5,13,7,6
6,16,8,8
7,5,2,3
8,8,0,8
9,12,5,7
10,10,2,8
11,12,3,9
12,2,2,0
13,8,7,1
14,8,7,1
15,0,0,0
16,16,7,9
17,7,1,6
18,6,1,5
19,12,3,9
20,12,6,6
21,12,7,5
22,8,4,4
23,1,1,0
24,14,6,8
25,8,1,7
26,4,3,1
27,14,7,7
28,9,0,9
29,13,8,5
30,12,7,5
31,15,9,6
32,6,0,6
33,7,5,2
34,13,8,5
35,1,1,0
36,12,4,8
37,1,0,1
38,13,5,8
39,5,1,4
40,9,3,6
41,15,8,7
42,4,3,1
43,18,9,9
44,10,6,4
45,7,0,7
46,8,7,1
47,15,9,6
48,7,6,1
49,10,8,2
50,10,8,2
51,16,7,9
52,5,5,0
53,4,1,3
54,10,8,2
55,6,3,3
56,6,6,0
57,9,6,3
58,6,2,4
59,3,2,1
60,14,6,8
61,7,1,6
62,5,4,1
63,2,0,2
64,9,1,8
65,15,6,9
66,10,9,1
67,9,2,7
68,15,9,6
69,7,1,6
70,10,7,3
71,13,4,9
72,4,1,3
73,10,1,9
74,6,3,3
75,13,6,7
76,11,6,5
77,7,2,5
78,3,0,3
79,3,1,2
80,9,3,6
81,10,9,1
82,7,1,6
83,9,4,5
84,10,7,3
85,7,6,1
86,8,5,3
87,3,1,2
88,4,1,3
89,11,6,5
90,4,3,1
91,2,1,1
92,12,9,3
93,6,2,4
94,8,0,8
95,14,9,5
96,16,9,7
97,9,5,4
98,8,1,7
99,2,2,0
100,18,9,9
101,8,6,2
102,11,2,9
103,9,2,7
104,10,3,7
105,7,5,2
106,9,0,9
107,10,5,5
108,9,5,4
109,14,9,5
110,14,6,8
111,1,0,1
112,9,6,3
113,8,6,2
114,8,5,3
115,5,0,5
116,5,2,3
117,7,6,1
118,16,9,7
119,7,7,0
120,13,4,9
121,5,0,5
122,9,2,7
123,5,3,2
124,8,4,4
125,5,1,4
126,14,7,7
127,11,4,7
128,15,7,8
129,14,9,5
130,15,6,9
131,10,3,7
132,13,5,8
133,7,7,0
134,14,5,9
135,3,0,3
136,2,2,0
137,9,9,0
138,7,0,7
139,16,9,7
140,9,5,4
141,4,2,2
142,15,8,7
143,10,6,4
144,6,6,0
145,3,2,1
146,8,2,6
147,8,8,0
148,15,9,6
149,7,1,6
150,9,7,2
151,10,1,9
152,8,6,2
153,5,4,1
154,2,2,0
155,1,0,1
156,10,5,5
157,11,2,9
158,9,4,5
159,11,9,2
160,7,7,0
161,8,0,8
162,16,8,8
163,7,0,7
164,14,7,7
165,11,5,6
166,13,8,5
167,8,3,5
168,12,6,6
169,11,9,2
170,7,2,5
171,11,5,6
172,4,3,1
173,10,1,9
174,14,8,6
175,9,3,6
176,6,6,0
177,7,7,0
178,13,9,4
179,1,0,1
180,7,3,4
181,4,1,3
182,2,1,1
183,2,2,0
184,11,6,5
185,14,9,5
186,16,7,9
187,8,6,2
188,9,8,1
189,9,8,1
190,6,0,6
191,6,4,2
192,13,8,5
193,9,6,3
194,11,6,5
195,7,2,5
196,12,3,9
197,10,6,4
198,11,8,3
199,13,6,7
200,9,8,1
201,2,2,0
202,9,1,8
203,8,3,5
204,7,4,3
205,11,2,9
206,14,6,8
207,13,6,7
208,10,2,8
209,6,1,5
210,7,7,0
211,2,2,0
212,8,5,3
213,13,7,6
214,10,4,6
215,10,4,6
216,11,8,3
217,16,7,9
218,6,1,5
219,12,4,8
220,13,8,5
221,8,3,5
222,7,4,3
223,6,1,5
224,4,0,4
225,12,7,5
226,7,4,3
227,5,0,5
228,12,4,8
229,3,0,3
230,6,4,2
231,5,1,4
232,8,6,2
233,14,9,5
234,9,1,8
235,2,2,0
236,17,8,9
237,7,0,7
238,12,3,9
239,3,1,2
240,10,5,5
241,6,4,2
242,10,5,5
243,6,4,2
244,6,1,5
245,9,9,0
246,16,8,8
247,3,1,2
248,13,7,6
249,7,2,5
250,9,1,8
251,14,5,9
252,6,1,5
253,9,9,0
254,7,3,4
255,10,5,5
256,15,8,7
257,1,1,0
258,7,0,7
259,6,6,0
260,9,8,1
261,13,4,9
262,11,7,4
263,15,7,8
264,1,0,1
265,6,2,4
266,4,2,2
267,11,3,8
268,10,1,9
269,6,6,0
270,10,2,8
271,9,3,6
272,11,7,4
273,8,6,2
274,4,4,0
275,9,0,9
276,15,9,6
277,7,1,6
278,12,4,8
279,9,8,1
280,10,8,2
281,2,2,0
282,11,3,8
283,7,1,6
284,14,9,5
285,9,6,3
286,14,7,7
287,10,3,7
